Player,Year,Plays,EPA+CPOE composite,Adj. EPA/play,EPA/play,Success rate,Cmp%,Expected cmp%,CPOE,Air yards
J.Rosen,2018,480,-0.018,-0.238,-0.282,38.10%,58.5,66.7,-8.2,8.5
B.Gabbert,2018,116,-0.02,-0.136,-0.184,40.50%,61.6,69.7,-8,7.2
J.McCown,2018,125,-0.025,-0.25,-0.253,36.80%,57.1,66.7,-9.5,7.6
M.Sanchez,2018,43,-0.032,-0.648,-0.7,30.20%,55.9,70.3,-14.4,6.3
T.Taylor,2018,119,-0.042,-0.097,-0.11,37.00%,51.2,63.4,-12.1,10
N.Peterman,2018,107,-0.042,-0.384,-0.449,31.80%,55.7,69.6,-13.9,6.2
D.Kizer,2018,49,-0.044,-0.326,-0.377,30.60%,51.3,65,-13.7,10.5
J.Dobbs,2018,14,-0.057,-0.495,-0.495,42.90%,54.5,72.2,-17.6,5.2
R.Griffin III,2018,7,-0.08,-0.157,-0.157,42.90%,40,59,-19,10.8
B.Hoyer,2018,3,-0.104,-0.75,-0.75,33.30%,50,78.6,-28.6,2
G.Smith,2018,7,-0.105,-0.692,-0.692,42.90%,33.3,61.5,-28.2,1.3
M.Cassel,2018,21,-0.114,-0.591,-0.64,38.10%,43.8,72.7,-29,8.1
K.Lauletta,2018,5,-0.198,-1.341,-1.341,0.00%,0,51,-51,15.2
T.Heinicke,2017,3,0.211,-0.564,-0.564,33.30%,100,69.6,30.4,5
J.Garoppolo,2017,198,0.204,0.348,0.335,54.50%,68.2,62.2,6,8.9
S.Bradford,2017,50,0.202,0.262,0.262,42.00%,74.4,63.6,10.9,8.3
T.Brady,2017,833,0.167,0.278,0.264,52.80%,66.3,62.8,3.5,9.3
D.Watson,2017,279,0.161,0.277,0.223,49.80%,62.4,60.1,2.3,11.1
D.Brees,2017,674,0.146,0.206,0.192,51.00%,72.5,67.9,4.5,6.9
C.Wentz,2017,550,0.143,0.257,0.243,49.60%,60.8,60.3,0.5,10
A.Smith,2017,661,0.139,0.174,0.171,48.40%,69.8,64.4,5.4,7.8
B.Roethlisberger,2017,691,0.137,0.208,0.191,50.90%,64.9,62.1,2.7,8.9
N.Foles,2017,228,0.137,0.189,0.172,48.70%,66,61.9,4.1,8.4
P.Rivers,2017,633,0.134,0.226,0.22,49.80%,63.7,62.7,1,8.4
P.Mahomes,2017,43,0.132,0.191,0.191,53.50%,64.7,61.6,3.1,7.7
M.Ryan,2017,678,0.123,0.172,0.151,50.00%,66.3,63.4,2.8,8.6
J.Winston,2017,528,0.12,0.132,0.11,50.90%,64.8,59.9,4.9,10.7
C.Keenum,2017,668,0.118,0.158,0.144,48.80%,67.4,64.6,2.7,7.4
N.Sudfeld,2017,29,0.114,-0.362,-0.362,37.90%,86.4,71.7,14.7,4.3
A.Rodgers,2017,301,0.113,0.172,0.136,51.80%,65.8,65,0.8,7
L.Jones,2017,32,0.112,-0.071,-0.071,43.80%,82.1,66.9,15.3,7.8
J.Goff,2017,591,0.107,0.195,0.177,45.30%,62.3,63.9,-1.7,8.1
J.McCown,2017,479,0.107,0.089,0.061,46.10%,68.9,63.4,5.5,7.8
R.Wilson,2017,728,0.106,0.099,0.081,46.70%,64.7,60.1,4.6,9.9
K.Clemens,2017,8,0.091,-0.339,-1.218,50.00%,75,64.4,10.6,4.4
M.Stafford,2017,675,0.089,0.112,0.082,47.00%,66.3,65.6,0.6,8
M.Mariota,2017,649,0.085,0.098,0.069,47.00%,63.1,62.4,0.8,9.2
K.Cousins,2017,641,0.079,0.082,0.06,46.20%,65,64.1,0.8,7.7
B.Bortles,2017,725,0.076,0.135,0.123,47.60%,61.1,64.3,-3.2,7.8
R.Fitzpatrick,2017,193,0.073,0.103,0.097,47.20%,59.6,61.2,-1.6,9.1
D.Prescott,2017,621,0.069,0.071,0.031,45.90%,63.9,64.1,-0.2,8
D.Carr,2017,588,0.065,0.062,0.058,44.90%,63.3,63.6,-0.3,8.3
C.Newton,2017,737,0.064,0.086,0.065,44.90%,60.6,62.7,-2.1,8.7
J.Callahan,2017,7,0.062,-0.508,-0.508,14.30%,71.4,67.5,3.9,7.1
T.Taylor,2017,613,0.06,0.042,0.034,41.90%,62.6,62.5,0.2,8.4
C.Palmer,2017,318,0.056,0.034,0.014,45.60%,61.7,61.7,0,9.3
D.Fales,2017,51,0.051,-0.03,-0.03,43.10%,69,66.3,2.8,6.6
K.Hogan,2017,99,0.05,0.007,-0.063,46.50%,62.2,61.7,0.4,9.4
P.Lynch,2017,60,0.048,-0.22,-0.325,41.70%,66.7,62.8,3.8,8.4
J.Cutler,2017,478,0.039,-0.011,-0.035,43.50%,63.3,63.7,-0.4,8.4
M.Cassel,2017,51,0.038,-0.611,-0.767,29.40%,61,62.4,-1.4,7.8
M.Glennon,2017,162,0.034,-0.165,-0.213,38.90%,66.9,65.2,1.7,6.2
A.Dalton,2017,581,0.032,-0.012,-0.029,43.00%,62.7,64.3,-1.7,8.3
M.Moore,2017,147,0.03,-0.056,-0.131,41.50%,63.4,63.5,-0.1,8.2
J.Flacco,2017,605,0.029,-0.03,-0.056,43.00%,64.8,66,-1.2,6.8
T.Siemian,2017,430,0.028,-0.03,-0.062,41.90%,60.6,62.1,-1.5,8.7
E.Manuel,2017,50,0.021,-0.029,-0.029,42.00%,57.1,59.9,-2.8,9.6
J.Brissett,2017,599,0.012,-0.027,-0.055,41.10%,60.8,65.2,-4.5,7.5
B.Hundley,2017,398,0.008,-0.108,-0.125,43.00%,61.5,64.6,-3,7.6
E.Manning,2017,642,0.008,-0.073,-0.087,44.10%,62.1,65.7,-3.6,7.3
J.Rudock,2017,6,0.004,-0.811,-1.297,33.30%,60,69.4,-9.4,3.6
T.Savage,2017,267,0.004,-0.082,-0.126,41.90%,56.8,61,-4.2,8.9
R.Mallett,2017,20,0.003,0.008,0.008,45.00%,56.3,64.4,-8.1,8.2
B.Osweiler,2017,203,0.002,-0.03,-0.078,38.90%,57.8,64,-6.2,7.6
C.Kessler,2017,31,0,-0.52,-0.52,29.00%,50,57.5,-7.5,10
M.Trubisky,2017,424,-0.002,-0.076,-0.093,40.60%,60.1,65.5,-5.4,7.8
D.Stanton,2017,185,-0.004,-0.01,-0.016,41.10%,50.6,59,-8.3,10.7
S.Tolzien,2017,24,-0.005,-0.727,-0.945,33.30%,50,60.4,-10.4,9.2
B.Hoyer,2017,243,-0.006,-0.067,-0.093,39.50%,59.1,65.3,-6.2,7.8
S.Mannion,2017,46,-0.007,-0.283,-0.283,30.40%,59.5,66.1,-6.6,6.9
G.Smith,2017,43,-0.007,-0.184,-0.206,39.50%,60,65.8,-5.8,5.8
D.Kizer,2017,629,-0.01,-0.097,-0.119,39.00%,54.3,60.6,-6.3,9
C.Beathard,2017,274,-0.014,-0.094,-0.119,40.90%,55.7,62.8,-7.1,7.4
B.Gabbert,2017,223,-0.016,-0.165,-0.205,39.90%,56.2,63.6,-7.4,9.3
N.Peterman,2017,60,-0.026,-0.414,-0.51,40.00%,49,60.3,-11.3,8.7
T.Yates,2017,122,-0.033,-0.165,-0.171,37.70%,50.5,60.9,-10.4,10.5
A.McCarron,2017,16,-0.053,-0.103,-0.103,31.30%,50,64.2,-14.2,7.5
B.Petty,2017,133,-0.054,-0.172,-0.187,37.60%,50.5,64.8,-14.4,8.2
J.Webb,2017,14,-0.11,-0.062,-0.062,35.70%,28.6,53.9,-25.3,16
C.Rush,2017,4,-0.166,-0.697,-0.697,25.00%,33.3,72.5,-39.2,0.3
D.Anderson,2017,9,-0.177,-0.565,-0.565,11.10%,22.2,62.3,-40.1,10
C.Henne,2017,2,-0.205,-1.071,-1.071,0.00%,0,49.8,-49.8,1
T.Bray,2017,2,-0.216,-2.828,-5.143,0.00%,0,67.7,-67.7,5
T.Bridgewater,2017,2,-0.274,-2.922,-3.674,0.00%,0,79.1,-79.1,3.5
C.Daniel,2016,1,0.775,1.597,1.597,100.00%,100,56.4,43.6,5
T.Romo,2016,5,0.559,1.211,1.211,80.00%,75,50.2,24.8,15
M.Glennon,2016,11,0.343,0.552,0.552,72.70%,90.9,70.5,20.4,3.9
M.Ryan,2016,737,0.215,0.363,0.352,55.20%,71,63.9,7.1,8.8
J.Garoppolo,2016,76,0.205,0.414,0.414,52.60%,68.3,65.5,2.7,7.9
T.Brady,2016,655,0.181,0.319,0.309,51.00%,67.7,64.2,3.5,8.2
D.Prescott,2016,597,0.174,0.284,0.27,53.60%,68.1,63.8,4.3,8.4
A.Rodgers,2016,888,0.165,0.272,0.266,50.70%,66,62.6,3.4,9
K.Cousins,2016,682,0.159,0.234,0.207,53.80%,68.6,63.6,5,8.7
M.Moore,2016,134,0.149,0.201,0.185,47.80%,69.4,64.1,5.4,8.1
D.Brees,2016,737,0.146,0.21,0.18,52.10%,71.1,66.9,4.2,7.3
T.Boykin,2016,25,0.131,0.125,0.125,52.00%,72.2,64.8,7.4,5.3
B.Roethlisberger,2016,664,0.126,0.19,0.167,49.40%,65.3,63.3,2,8.7
M.Mariota,2016,558,0.116,0.173,0.132,48.90%,62.9,61.5,1.4,9.8
A.Luck,2016,676,0.112,0.165,0.135,50.10%,64.9,63.7,1.2,8.4
B.Hoyer,2016,215,0.111,0.131,0.131,48.40%,69.1,65.7,3.4,7.7
R.Wilson,2016,753,0.111,0.109,0.1,48.30%,67.1,62.1,4.9,8.8
C.Kessler,2016,237,0.111,0.111,0.108,43.50%,67,62.3,4.7,7.5
A.Dalton,2016,672,0.11,0.135,0.128,50.10%,67.2,64.3,2.8,8
M.Stafford,2016,739,0.103,0.164,0.153,50.20%,66.3,66.7,-0.4,7.5
P.Rivers,2016,656,0.1,0.146,0.112,47.40%,62.1,61.9,0.2,8.5
S.Bradford,2016,626,0.099,0.081,0.07,48.10%,71.9,67.4,4.5,6.4
D.Carr,2016,642,0.099,0.148,0.141,45.80%,64.4,64.4,0,7.8
J.Winston,2016,689,0.098,0.121,0.094,48.60%,61.6,59.9,1.7,10.3
A.Smith,2016,610,0.096,0.115,0.086,46.70%,68,66.2,1.7,6.8
T.Taylor,2016,604,0.09,0.091,0.086,43.90%,63.7,61.5,2.2,9.4
R.Tannehill,2016,470,0.082,0.023,0.007,46.00%,68.5,63.2,5.3,8
C.Palmer,2016,691,0.078,0.087,0.069,48.60%,61.8,61.4,0.4,9.5
D.Anderson,2016,58,0.072,0.008,-0.106,58.60%,67.9,63.5,4.4,8.6
T.Siemian,2016,570,0.066,0.066,0.051,46.10%,61.2,61.7,-0.5,8.6
S.Hill,2016,38,0.064,0.135,0.135,44.70%,54.3,59.7,-5.4,9.9
M.Barkley,2016,243,0.063,0.063,0.008,51.00%,60,60.9,-0.9,10.6
C.Whitehurst,2016,29,0.061,0.074,0.074,44.80%,58.3,60.2,-1.9,11
L.Jones,2016,94,0.059,0.039,0.039,41.50%,62.4,62.2,0.2,9
N.Foles,2016,62,0.056,-0.087,-0.087,37.10%,65.5,60,5.5,7.8
C.Wentz,2016,707,0.051,0.033,0.023,44.70%,63,63.9,-0.9,7.5
T.Savage,2016,93,0.043,0.002,-0.011,46.20%,63,63.5,-0.5,8.1
J.Flacco,2016,753,0.04,-0.012,-0.026,43.40%,66.3,66.4,-0.2,7.5
S.Tolzien,2016,45,0.039,-0.183,-0.193,40.00%,62.2,59.6,2.5,9.7
R.Fitzpatrick,2016,474,0.038,0.045,0.022,44.70%,56.9,61,-4.1,9.1
E.Manning,2016,704,0.036,0.007,-0.012,45.20%,62.4,64.5,-2.1,8.1
K.Hogan,2016,36,0.031,-0.005,-0.013,41.70%,60.9,63.1,-2.2,5.1
C.Kaepernick,2016,450,0.03,0.032,0.019,43.30%,59.9,64.7,-4.7,8
M.Cassel,2016,59,0.029,-0.136,-0.207,37.30%,62.5,61.6,0.9,7.6
B.Bortles,2016,758,0.027,0.021,0.001,44.90%,59.2,63.6,-4.5,8.3
P.Lynch,2016,107,0.025,-0.049,-0.049,43.00%,59.8,60.9,-1.2,11.1
R.Griffin III,2016,210,0.018,-0.045,-0.049,39.00%,59.6,62.3,-2.7,8.7
C.Newton,2016,664,0.018,0.01,-0.014,43.20%,54,59.5,-5.5,10.4
C.Keenum,2016,377,0.015,-0.033,-0.065,40.80%,61.4,65.1,-3.7,7.7
B.Osweiler,2016,661,0.013,-0.031,-0.045,46.10%,59.4,63.5,-4.1,8.6
J.Cutler,2016,169,0.011,-0.145,-0.188,38.50%,60.4,62.8,-2.4,9.3
J.Brissett,2016,81,0.009,-0.114,-0.114,35.80%,61.8,64.6,-2.8,7.5
B.Gabbert,2016,218,-0.007,-0.061,-0.066,40.80%,57.2,63.9,-6.7,8.5
J.McCown,2016,199,-0.008,-0.08,-0.121,38.20%,54.9,61.1,-6.2,10.1
B.Petty,2016,157,-0.01,-0.211,-0.235,36.30%,57.3,63.8,-6.5,8.9
M.McGloin,2016,17,-0.011,-0.325,-0.325,35.30%,57.1,64.9,-7.8,8.6
C.Jones,2016,14,-0.018,-0.453,-0.651,35.70%,54.5,64.7,-10.1,9.5
R.Mallett,2016,6,-0.027,-0.703,-0.703,33.30%,50,64.1,-14.1,10
G.Smith,2016,20,-0.028,-0.058,-0.058,40.00%,57.1,67.7,-10.5,6.9
M.Sanchez,2016,23,-0.03,-0.439,-0.492,34.80%,55.6,67.9,-12.3,1.3
J.Goff,2016,254,-0.031,-0.269,-0.316,33.90%,55.4,66.4,-10.9,6.7
D.Stanton,2016,52,-0.06,-0.246,-0.246,32.70%,42.2,58.1,-15.9,11.2
C.Cook,2016,76,-0.06,-0.375,-0.428,35.50%,48.5,65.7,-17.2,8.6
E.Manuel,2016,37,-0.065,-0.089,-0.095,40.50%,42.3,58.8,-16.5,10.8
S.Mannion,2016,8,-0.098,-0.726,-1.444,37.50%,50,77.2,-27.2,1
K.Clemens,2016,3,-0.109,-0.999,-0.999,0.00%,0,31.6,-31.6,35
D.Fales,2016,7,-0.112,-0.398,-0.398,28.60%,40,66.7,-26.7,9.8
M.Schaub,2016,3,-0.117,-0.048,-0.048,33.30%,33.3,60.4,-27,6
B.Hundley,2016,12,-0.16,-0.672,-0.672,25.00%,20,57.9,-37.9,10
M.Moore,2015,1,0.785,1.99,1.99,100.00%,100,75.3,24.7,5
K.Clemens,2015,6,0.583,1.194,1.194,83.30%,83.3,53.3,30,14
R.Nassib,2015,5,0.571,1.109,1.109,100.00%,100,67.6,32.4,8.2
C.Daniel,2015,2,0.284,0.319,0.319,50.00%,100,77.9,22.1,0
L.McCown,2015,45,0.276,0.407,0.407,57.80%,82.1,66.1,16,7.3
C.McCoy,2015,12,0.234,0.558,0.558,41.70%,63.6,63.3,0.3,8.3
S.Tolzien,2015,3,0.2,-1.192,-1.192,0.00%,100,77.4,22.6,4
A.Dalton,2015,479,0.173,0.287,0.272,52.60%,66.9,63,4,9
R.Wilson,2015,723,0.171,0.232,0.219,52.00%,69.3,62.1,7.3,8.9
C.Palmer,2015,702,0.17,0.272,0.259,52.10%,64.4,60,4.4,10.8
B.Roethlisberger,2015,612,0.157,0.224,0.218,51.30%,67.7,62.4,5.3,9.8
B.Weeden,2015,172,0.146,0.207,0.194,51.70%,69.8,65.4,4.4,7.3
R.Lindley,2015,10,0.138,0.339,0.339,50.00%,60,65.6,-5.6,8.3
K.Cousins,2015,675,0.135,0.167,0.148,48.40%,69.3,64.1,5.2,8
D.Brees,2015,708,0.127,0.191,0.172,48.00%,68.7,66.7,2,7.9
T.Brady,2015,836,0.111,0.195,0.178,47.10%,63.8,64.9,-1.1,7.9
T.Taylor,2015,541,0.109,0.131,0.131,43.30%,63.8,60.7,3,10.5
C.Newton,2015,802,0.108,0.175,0.161,49.30%,60.5,60.8,-0.3,10.4
J.Cutler,2015,568,0.106,0.134,0.095,47.90%,64.9,62.7,2.3,8.4
G.Smith,2015,49,0.104,0.129,0.129,57.10%,64.3,62,2.3,8.9
D.Anderson,2015,9,0.104,-0.417,-0.417,33.30%,66.7,54.3,12.4,11
T.Jackson,2015,7,0.103,0.194,0.194,42.90%,66.7,69.2,-2.5,3.7
P.Rivers,2015,764,0.103,0.117,0.087,47.90%,67,64.2,2.7,7.3
M.Ryan,2015,707,0.096,0.137,0.121,51.50%,66.7,66.6,0.2,7.8
J.Winston,2015,650,0.095,0.138,0.119,48.00%,59.3,59.3,0,10.1
R.Fitzpatrick,2015,651,0.094,0.157,0.15,45.90%,59.8,61.3,-1.5,9.2
S.Mannion,2015,7,0.091,-0.184,-0.184,28.60%,85.7,73.6,12.1,3.7
A.Smith,2015,714,0.09,0.122,0.112,46.90%,66.7,66.6,0.1,6.9
J.McCown,2015,358,0.089,0.111,0.087,47.50%,64.1,63.4,0.7,7.8
T.Bridgewater,2015,584,0.089,0.073,0.068,43.50%,67.3,64.1,3.2,7.1
E.Manning,2015,702,0.086,0.131,0.101,46.90%,63.4,64.7,-1.3,7.7
A.McCarron,2015,199,0.085,0.054,0.028,44.70%,66.7,62.9,3.8,8.4
M.Mariota,2015,470,0.081,0.087,0.059,46.60%,63,62.2,0.8,9.4
M.Stafford,2015,698,0.08,0.089,0.069,49.40%,68.3,67.7,0.6,6.5
A.Rodgers,2015,826,0.076,0.101,0.087,45.00%,61.3,62.3,-0.9,8.5
A.Tanney,2015,17,0.074,-0.033,-0.033,41.20%,71.4,64.3,7.1,8.8
T.Romo,2015,137,0.073,0.035,-0.021,51.10%,68.6,65.7,2.9,7.1
R.Tannehill,2015,693,0.059,0.025,0.008,42.60%,62.7,61.8,0.9,8.8
J.Webb,2015,1,0.055,-0.794,-0.794,0.00%,,,0,
B.Osweiler,2015,332,0.055,0.047,0.04,47.30%,61.8,63,-1.2,8.8
J.Flacco,2015,463,0.055,0.032,0.006,46.90%,65.2,65.4,-0.2,7.5
M.Hasselbeck,2015,298,0.053,0.059,0.032,46.60%,62.4,64.7,-2.3,7.4
B.Bortles,2015,734,0.053,0.069,0.034,45.90%,59.2,62.1,-3,9.2
S.Bradford,2015,614,0.052,0.025,0.001,45.00%,65.4,65.7,-0.3,7
C.Keenum,2015,144,0.051,0.084,0.077,49.30%,60.8,65.3,-4.5,8.1
D.Carr,2015,652,0.05,0.059,0.016,44.30%,61.5,64.3,-2.8,8
E.Manuel,2015,107,0.049,0.007,-0.04,49.50%,63.4,63.1,0.3,9.1
M.Schaub,2015,89,0.048,-0.013,-0.089,44.90%,64.9,63.7,1.3,7.1
M.Vick,2015,92,0.03,-0.3,-0.3,33.70%,62.5,62.6,-0.1,9.9
J.Manziel,2015,285,0.029,-0.008,-0.022,41.40%,59.2,61.7,-2.6,8.2
M.McGloin,2015,34,0.028,-0.103,-0.157,44.10%,71.9,71.3,0.6,5.4
B.Hoyer,2015,458,0.025,-0.006,-0.025,45.40%,59.6,62.8,-3.2,9.5
A.Luck,2015,350,0.025,0.01,-0.009,41.70%,56.8,61.1,-4.2,9.8
A.Davis,2015,122,0.023,-0.267,-0.298,41.00%,60.9,61.9,-1.1,8.5
B.Gabbert,2015,347,0.022,-0.05,-0.066,40.90%,63.3,65.1,-1.8,7.2
K.Moore,2015,114,0.019,-0.029,-0.08,46.50%,59.8,63,-3.2,8.5
Z.Mettenberger,2015,188,0.017,-0.303,-0.332,41.00%,62,64.4,-2.4,7.9
P.Manning,2015,472,0.009,-0.074,-0.1,40.70%,59.3,62.7,-3.4,9.4
C.Kaepernick,2015,322,0.008,-0.027,-0.041,41.00%,59,64.2,-5.2,7.7
L.Jones,2015,66,0.008,-0.046,-0.092,42.40%,57.6,62,-4.4,9.4
M.Sanchez,2015,107,0.005,-0.09,-0.124,42.10%,64.8,68.6,-3.8,5.9
M.Cassel,2015,247,0.003,-0.068,-0.121,43.70%,60.4,65,-4.6,8.2
J.Clausen,2015,146,0.003,-0.216,-0.27,31.50%,57.6,61.9,-4.3,8.8
R.Mallett,2015,263,0.001,-0.014,-0.022,43.00%,56.7,63.9,-7.2,8.6
N.Foles,2015,378,-0.013,-0.194,-0.222,36.50%,57.2,64.1,-6.9,8.1
D.Orlovsky,2015,42,-0.015,0.009,0.009,42.90%,56.4,67.8,-11.4,7.9
T.Yates,2015,69,-0.019,-0.015,-0.019,40.60%,50,60.8,-10.8,11.2
J.Freeman,2015,34,-0.036,-0.087,-0.097,44.10%,55.6,66.8,-11.3,7.4
C.Whitehurst,2015,39,-0.04,-0.273,-0.354,38.50%,50,62.6,-12.6,8.7
S.Renfree,2015,11,-0.043,-0.862,-0.862,9.10%,42.9,61.3,-18.4,6.7
D.Stanton,2015,29,-0.05,-0.37,-0.402,44.80%,44,59.3,-15.3,12.8
S.Hill,2015,8,-0.103,-0.829,-0.829,25.00%,28.6,57.6,-29.1,8.4
J.Garoppolo,2015,4,-0.203,-0.778,-0.778,25.00%,25,71.7,-46.7,3.3